sumlev,geocode,coname,county,pop2020,hu2020
700,37001000001,Alamance County,1,5135,2188
700,37001000002,Alamance County,1,4771,2050
700,37001000004,Alamance County,1,5427,2320
700,37001000005,Alamance County,1,3399,1565
700,37001000007,Alamance County,1,4456,1938
700,37001000011,Alamance County,1,4741,2018
700,37001000013,Alamance County,1,6190,2694
700,37001000035,Alamance County,1,8320,2429
700,3700100003C,Alamance County,1,2755,1189
700,3700100003N,Alamance County,1,5578,1677
700,3700100003S,Alamance County,1,10280,4991
700,3700100003W,Alamance County,1,3980,1635
700,37001000063,Alamance County,1,5026,1864
700,37001000064,Alamance County,1,6344,2740
700,3700100006E,Alamance County,1,4030,1811
700,3700100006N,Alamance County,1,4895,2226
700,3700100006S,Alamance County,1,4946,2305
700,3700100006W,Alamance County,1,2135,968
700,3700100008N,Alamance County,1,4235,1795
700,3700100008S,Alamance County,1,2101,957
700,3700100009N,Alamance County,1,3329,1421
700,3700100009S,Alamance County,1,6676,2833
700,37001000103,Alamance County,1,4617,1889
700,3700100010N,Alamance County,1,4839,2182
700,3700100010S,Alamance County,1,12410,5348
700,37001000124,Alamance County,1,2424,1224
700,37001000125,Alamance County,1,2949,1408
700,37001000126,Alamance County,1,1993,958
700,37001000127,Alamance County,1,7860,3104
700,37001000128,Alamance County,1,3764,1883
700,37001000129,Alamance County,1,2479,1080
700,3700100012E,Alamance County,1,3419,1426
700,3700100012N,Alamance County,1,6355,2604
700,3700100012S,Alamance County,1,2785,1146
700,3700100012W,Alamance County,1,2828,1409
700,370010003N2,Alamance County,1,829,502
700,37001001210,Alamance County,1,3115,1608
700,3700300000E,Alexander County,3,3154,1415
700,3700300000M,Alexander County,3,2650,1095
700,3700300000W,Alexander County,3,2242,1113
700,370030000B1,Alexander County,3,3768,1705
700,370030000B2,Alexander County,3,4510,2011
700,3700300G1G2,Alexander County,3,2154,966
700,3700300LRSL,Alexander County,3,2546,1207
700,3700300S1S2,Alexander County,3,4216,1944
700,3700300T2T3,Alexander County,3,4107,1948
700,37003T1T4T5,Alexander County,3,7097,2556
700,37005000001,Alleghany County,5,1563,1513
700,37005000004,Alleghany County,5,2001,1377
700,3700500003A,Alleghany County,5,5192,2997
700,3700500006A,Alleghany County,5,2132,1779
700,370070000MM,Anson County,7,1480,695
700,370070000WS,Anson County,7,474,202
700,37007000ANS,Anson County,7,1370,651
700,3700700BURN,Anson County,7,1732,818
700,3700700GULL,Anson County,7,1267,636
700,3700700LILE,Anson County,7,2864,1392
700,3700700PEAC,Anson County,7,1733,823
700,3700700POLK,Anson County,7,1455,663
