coname,geoid,state,county,pop2020,hu2020
Alamance County,37001,37,1,171415,73385
Alexander County,37003,37,3,36444,15960
Alleghany County,37005,37,5,10888,7666
Anson County,37007,37,7,22055,9834
Ashe County,37009,37,9,26577,16935
Avery County,37011,37,11,17806,13827
Beaufort County,37013,37,13,44652,24090
Bertie County,37015,37,15,17934,8936
Bladen County,37017,37,17,29606,15131
Brunswick County,37019,37,19,136693,88330
Buncombe County,37021,37,21,269452,129141
Burke County,37023,37,23,87570,39525
Cabarrus County,37025,37,25,225804,87410
Caldwell County,37027,37,27,80652,36931
Camden County,37029,37,29,10355,4119
Carteret County,37031,37,31,67686,50846
Caswell County,37033,37,33,22736,10444
Catawba County,37035,37,35,160610,70744
Chatham County,37037,37,37,76285,33947
Cherokee County,37039,37,39,28774,17863
Chowan County,37041,37,41,13708,7131
Clay County,37043,37,43,11089,7295
Cleveland County,37045,37,45,99519,43630
Columbus County,37047,37,47,50623,23433
Craven County,37049,37,49,100720,46800
Cumberland County,37051,37,51,334728,142175
Currituck County,37053,37,53,28100,15989
Dare County,37055,37,55,36915,34237
Davidson County,37057,37,57,168930,74536
Davie County,37059,37,59,42712,18753
Duplin County,37061,37,61,48715,23704
Durham County,37063,37,63,324833,144559
Edgecombe County,37065,37,65,48900,23059
Forsyth County,37067,37,67,382590,170176
Franklin County,37069,37,69,68573,29358
Gaston County,37071,37,71,227943,98136
Gates County,37073,37,73,10478,4767
Graham County,37075,37,75,8030,5212
Granville County,37077,37,77,60992,24214
Greene County,37079,37,79,20451,7846
Guilford County,37081,37,81,541299,232277
Halifax County,37083,37,83,48622,24735
Harnett County,37085,37,85,133568,52876
Haywood County,37087,37,87,62089,34889
Henderson County,37089,37,89,116281,56434
Hertford County,37091,37,91,21552,9803
Hoke County,37093,37,93,52082,20083
Hyde County,37095,37,95,4589,3146
Iredell County,37097,37,97,186693,79372
Jackson County,37099,37,99,43109,26649
Johnston County,37101,37,101,215999,84340
Jones County,37103,37,103,9172,4635
Lee County,37105,37,105,63285,26583
Lenoir County,37107,37,107,55122,26577
Lincoln County,37109,37,109,86810,37170
McDowell County,37111,37,111,44578,21242
Macon County,37113,37,113,37014,26948
Madison County,37115,37,115,21193,11045
Martin County,37117,37,117,22031,11080
Mecklenburg County,37119,37,119,1115482,478966
Mitchell County,37121,37,121,14903,8638
Montgomery County,37123,37,123,25751,14773
Moore County,37125,37,125,99727,48237
Nash County,37127,37,127,94970,43154
New Hanover County,37129,37,129,225702,113368
Northampton County,37131,37,131,17471,10570
Onslow County,37133,37,133,204576,84180
Orange County,37135,37,135,148696,61211
Pamlico County,37137,37,137,12276,7118
Pasquotank County,37139,37,139,40568,17410
Pender County,37141,37,141,60203,29927
Perquimans County,37143,37,143,13005,6866
Person County,37145,37,145,39097,18284
Pitt County,37147,37,147,170243,80515
Polk County,37149,37,149,19328,10775
Randolph County,37151,37,151,144171,62024
Richmond County,37153,37,153,42946,19605
Robeson County,37155,37,155,116530,48426
Rockingham County,37157,37,157,91096,43431
Rowan County,37159,37,159,146875,63200
Rutherford County,37161,37,161,64444,32444
Sampson County,37163,37,163,59036,25481
Scotland County,37165,37,165,34174,14348
Stanly County,37167,37,167,62504,27685
Stokes County,37169,37,169,44520,21160
Surry County,37171,37,171,71359,33436
Swain County,37173,37,173,14117,8341
Transylvania County,37175,37,175,32986,19025
Tyrrell County,37177,37,177,3245,1999
Union County,37179,37,179,238267,83788
Vance County,37181,37,181,42578,19276
Wake County,37183,37,183,1129410,462582
Warren County,37185,37,185,18642,11309
Washington County,37187,37,187,11003,6039
Watauga County,37189,37,189,54086,32637
Wayne County,37191,37,191,117333,52551
Wilkes County,37193,37,193,65969,31545
Wilson County,37195,37,195,78784,36252
Yadkin County,37197,37,197,37214,16946
Yancey County,37199,37,199,18470,11230
