namelsad,sumlev,geocode,state,placefp,pop2020,hu2020
Aberdeen town,160,3700160,37,160,8516,3879
Advance CDP,160,3700440,37,440,1499,631
Ahoskie town,160,3700500,37,500,4891,2326
Alamance village,160,3700640,37,640,988,400
Albemarle city,160,3700680,37,680,16432,7511
Alexis CDP,160,3700880,37,880,589,276
Alliance town,160,3701000,37,1000,733,328
Altamahaw CDP,160,3701140,37,1140,334,150
Anderson Creek CDP,160,3701340,37,1340,13636,5175
Andrews town,160,3701380,37,1380,1667,895
Angier town,160,3701400,37,1400,5265,2162
Ansonville town,160,3701420,37,1420,440,213
Apex town,160,3701520,37,1520,58780,22151
Aquadale CDP,160,3701560,37,1560,348,169
Arapahoe town,160,3701640,37,1640,416,219
Archdale city,160,3701720,37,1720,11907,5138
Archer Lodge town,160,3701760,37,1760,4797,1707
Arrowhead Beach CDP,160,3701972,37,1972,640,487
Asheboro city,160,3702080,37,2080,27156,11855
Asheville city,160,3702140,37,2140,94589,47606
Ashley Heights CDP,160,3702240,37,2240,301,150
Askewville town,160,3702320,37,2320,184,97
Atkinson town,160,3702460,37,2460,296,126
Atlantic CDP,160,3702480,37,2480,468,374
Atlantic Beach town,160,3702500,37,2500,1364,4844
Aulander town,160,3702580,37,2580,763,403
Aurora town,160,3702620,37,2620,455,275
Autryville town,160,3702700,37,2700,167,98
Avery Creek CDP,160,3702760,37,2760,2241,917
Avon CDP,160,3702780,37,2780,832,1631
Ayden town,160,3702840,37,2840,4977,2516
Badin town,160,3702960,37,2960,2024,605
Bailey town,160,3703020,37,3020,568,246
Bakersville town,160,3703100,37,3100,450,244
Bald Head Island village,160,3703150,37,3150,268,1050
Balfour CDP,160,3703220,37,3220,1335,595
Banner Elk town,160,3703500,37,3500,1049,622
Barker Heights CDP,160,3703640,37,3640,1249,502
Barker Ten Mile CDP,160,3703665,37,3665,937,391
Barnardsville CDP,160,3703720,37,3720,559,255
Bath town,160,3703840,37,3840,245,163
Bayboro town,160,3703960,37,3960,1161,312
Bayshore CDP,160,3704015,37,4015,3833,1583
Bayview CDP,160,3704040,37,4040,298,264
Bear Grass town,160,3704180,37,4180,89,41
Beaufort town,160,3704260,37,4260,4464,3094
Beech Mountain town,160,3704510,37,4510,675,2356
Belhaven town,160,3704640,37,4640,1410,893
Bell Arthur CDP,160,3704680,37,4680,477,190
Belmont city,160,3704840,37,4840,15010,6426
Belville town,160,3704950,37,4950,2406,1014
Belvoir CDP,160,3704955,37,4955,315,120
Belwood town,160,3704960,37,4960,857,426
Bennett CDP,160,3705020,37,5020,284,137
Benson town,160,3705040,37,5040,3967,1763
Bent Creek CDP,160,3705049,37,5049,1402,609
Bermuda Run town,160,3705135,37,5135,3120,1593
Bessemer City city,160,3705220,37,5220,5428,2445
Bethania town,160,3705340,37,5340,344,168
Bethel town,160,3705460,37,5460,1373,700
Bethlehem CDP,160,3705530,37,5530,4491,2014
Beulaville town,160,3705660,37,5660,1116,648
Biltmore Forest town,160,3705880,37,5880,1409,683
Biscoe town,160,3706000,37,6000,1848,669
Black Creek town,160,3706080,37,6080,692,318
Black Mountain town,160,3706140,37,6140,8426,4476
Bladenboro town,160,3706240,37,6240,1648,851
Blowing Rock town,160,3706500,37,6500,1376,2084
Blue Clay Farms CDP,160,3706510,37,6510,168,72
Boardman town,160,3706660,37,6660,166,82
Bogue town,160,3706740,37,6740,695,319
Boiling Spring Lakes city,160,3706760,37,6760,5943,2605
Boiling Springs town,160,3706800,37,6800,4615,1465
Bolivia town,160,3706820,37,6820,149,69
Bolton town,160,3706860,37,6860,519,273
Bonnetsville CDP,160,3706980,37,6980,318,151
Boone town,160,3707080,37,7080,19092,7217
Boonville town,160,3707140,37,7140,1185,555
Bostic town,160,3707220,37,7220,355,180
Bowdens CDP,160,3707340,37,7340,196,116
Bowmore CDP,160,3707400,37,7400,76,43
Brandywine Bay CDP,160,3707588,37,7588,1153,629
Brevard city,160,3707720,37,7720,7744,3935
Briar Chapel CDP,160,3707748,37,7748,5108,1955
Brices Creek CDP,160,3707765,37,7765,3542,1370
Bridgeton town,160,3707860,37,7860,349,217
Broad Creek CDP,160,3708040,37,8040,1968,1287
Broadway town,160,3708080,37,8080,1267,564
Brogden CDP,160,3708110,37,8110,2510,1084
Brookford town,160,3708140,37,8140,442,218
Brunswick town,160,3708420,37,8420,973,157
Bryson City town,160,3708480,37,8480,1558,836
Buies Creek CDP,160,3708760,37,8760,3253,1170
Bunn town,160,3708860,37,8860,327,166
Bunnlevel CDP,160,3708880,37,8880,516,246
Burgaw town,160,3708960,37,8960,3088,1418
Burlington city,160,3709060,37,9060,57303,25771
Burnsville town,160,3709140,37,9140,1614,870
Butner town,160,3709360,37,9360,8397,3112
Butters CDP,160,3709380,37,9380,250,131
Buxton CDP,160,3709400,37,9400,1181,940
Cajah's Mountain town,160,3709530,37,9530,2722,1196
Calabash town,160,3709540,37,9540,2011,1546
Calypso town,160,3709760,37,9760,327,184
Camden CDP,160,3709780,37,9780,620,279
Cameron town,160,3709800,37,9800,244,137
Candor town,160,3710120,37,10120,813,322
Canton town,160,3710240,37,10240,4422,2086
Cape Carteret town,160,3710260,37,10260,2224,1142
Cape Colony CDP,160,3710264,37,10264,691,383
Caroleen CDP,160,3710460,37,10460,560,265
Carolina Beach town,160,3710500,37,10500,6564,5618
Carolina Meadows CDP,160,3710532,37,10532,727,488
Carolina Shores town,160,3710550,37,10550,4588,2767
Carrboro town,160,3710620,37,10620,21295,9912
Carthage town,160,3710680,37,10680,2775,1216
Cary town,160,3710740,37,10740,174721,70171
Casar town,160,3710760,37,10760,305,150
Cashiers CDP,160,3710800,37,10800,657,682
Castalia town,160,3710860,37,10860,264,129
Castle Hayne CDP,160,3710880,37,10880,1243,564
Caswell Beach town,160,3710960,37,10960,395,681
Catawba town,160,3710980,37,10980,702,307
Cedar Point town,160,3711340,37,11340,1764,1237
Cedar Rock village,160,3711352,37,11352,301,136
Centerville CDP,160,3711560,37,11560,149,85
Cerro Gordo town,160,3711620,37,11620,131,69
Chadbourn town,160,3711640,37,11640,1574,845
Chapel Hill town,160,3711800,37,11800,61960,23713
Charlotte city,160,3712000,37,12000,874579,379904
Cherokee CDP,160,3712140,37,12140,2195,918
Cherry Branch CDP,160,3712186,37,12186,1211,461
Cherryville city,160,3712340,37,12340,6078,2745
Chimney Rock Village village,160,3712460,37,12460,140,168
China Grove town,160,3712480,37,12480,4434,1911
Chinquapin CDP,160,3712520,37,12520,86,65
Chocowinity town,160,3712580,37,12580,722,389
Chowan Beach CDP,160,3712590,37,12590,385,188
Claremont city,160,3712720,37,12720,1692,774
Clarkton town,160,3712780,37,12780,614,297
Clayton town,160,3712860,37,12860,26307,10576
Clemmons village,160,3712960,37,12960,21163,8897
Cleveland town,160,3713000,37,13000,846,374
Cliffside CDP,160,3713100,37,13100,530,234
Clinton city,160,3713240,37,13240,8383,3772
Clyde town,160,3713280,37,13280,1368,637
Coats town,160,3713360,37,13360,2155,998
Cofield village,160,3713460,37,13460,267,157
Coinjock CDP,160,3713500,37,13500,337,165
Colerain town,160,3713560,37,13560,217,113
Columbia town,160,3713940,37,13940,610,349
Columbus town,160,3713980,37,13980,1060,472
Como town,160,3714060,37,14060,67,43
Concord city,160,3714100,37,14100,105240,40772
Conetoe town,160,3714200,37,14200,198,118
Connelly Springs town,160,3714280,37,14280,1529,838
Conover city,160,3714340,37,14340,8421,3805
Conway town,160,3714400,37,14400,752,363
Cooleemee town,160,3714460,37,14460,940,424
Cordova CDP,160,3714600,37,14600,1653,738
Cornelius town,160,3714700,37,14700,31412,14536
Cove City town,160,3715020,37,15020,378,197
Cove Creek CDP,160,3715040,37,15040,1068,573
Cramerton town,160,3715260,37,15260,5296,2506
Creedmoor city,160,3715320,37,15320,4866,1953
Creswell town,160,3715420,37,15420,207,122
Cricket CDP,160,3715440,37,15440,1966,873
Crossnore town,160,3715580,37,15580,143,75
Crouse CDP,160,3715640,37,15640,322,160
Cullowhee CDP,160,3715880,37,15880,7682,2366
Cypress Landing CDP,160,3716084,37,16084,1257,661
Dallas town,160,3716180,37,16180,5927,2522
Dana CDP,160,3716220,37,16220,3683,1463
Danbury town,160,3716240,37,16240,189,51
Davidson town,160,3716400,37,16400,15106,5898
Davis CDP,160,3716480,37,16480,311,240
Deep Run CDP,160,3716720,37,16720,572,248
Deercroft CDP,160,3716730,37,16730,414,190
Delco CDP,160,3716780,37,16780,287,143
Dellview town,160,3716820,37,16820,6,3
Delway CDP,160,3716860,37,16860,150,89
Denton town,160,3716980,37,16980,1494,731
Denver CDP,160,3717000,37,17000,2697,1206
Dillsboro town,160,3717180,37,17180,213,136
Dobbins Heights town,160,3717325,37,17325,687,378
Dobson town,160,3717340,37,17340,1462,594
Dortches town,160,3717520,37,17520,1082,477
Dover town,160,3717660,37,17660,349,186
Drexel town,160,3717860,37,17860,1760,811
Dublin town,160,3718040,37,18040,267,120
Duck town,160,3718060,37,18060,742,2461
Dudley CDP,160,3718080,37,18080,826,364
Dundarrach CDP,160,3718300,37,18300,34,18
Dunn city,160,3718320,37,18320,8446,4150
Durham city,160,3719000,37,19000,283506,128005
Earl town,160,3719140,37,19140,198,106
East Arcadia town,160,3719300,37,19300,418,198
East Bend town,160,3719320,37,19320,634,291
East Flat Rock CDP,160,3719420,37,19420,5757,2286
East Laurinburg town,160,3719620,37,19620,234,122
Eastover town,160,3719740,37,19740,3656,1658
East Rockingham CDP,160,3719800,37,19800,3471,1572
East Spencer town,160,3719860,37,19860,1567,784
Eden city,160,3720080,37,20080,15421,7740
Edenton town,160,3720120,37,20120,4460,2449
Edneyville CDP,160,3720280,37,20280,2395,1065
Efland CDP,160,3720420,37,20420,852,369
Elizabeth City city,160,3720580,37,20580,18631,8642
Elizabethtown town,160,3720600,37,20600,3296,1631
Elkin town,160,3720620,37,20620,4122,2059
Elk Park town,160,3720700,37,20700,542,287
Ellenboro town,160,3720780,37,20780,723,353
Ellerbe town,160,3720840,37,20840,864,426
Elm City town,160,3720980,37,20980,1218,588
Elon town,160,3721095,37,21095,11336,3175
Elrod CDP,160,3721120,37,21120,391,158
Elroy CDP,160,3721130,37,21130,3755,1701
Emerald Isle town,160,3721160,37,21160,3847,6769
Emma CDP,160,3721260,37,21260,2174,872
Enfield town,160,3721360,37,21360,1865,1034
Engelhard CDP,160,3721380,37,21380,374,233
Enochville CDP,160,3721500,37,21500,2893,1258
Erwin town,160,3721740,37,21740,4542,2026
Etowah CDP,160,3721880,37,21880,7642,3680
Eureka town,160,3721960,37,21960,214,102
Everetts town,160,3722040,37,22040,150,82
Evergreen CDP,160,3722080,37,22080,336,165
Fair Bluff town,160,3722240,37,22240,709,417
Fairfield CDP,160,3722280,37,22280,231,127
Fairfield Harbour CDP,160,3722305,37,22305,2767,1744
Fairmont town,160,3722360,37,22360,2191,1107
Fairplains CDP,160,3722380,37,22380,2029,939
Fairview CDP,160,3722440,37,22440,2771,1256
Fairview town,160,3722500,37,22500,3456,1364
Faison town,160,3722560,37,22560,784,387
Faith town,160,3722600,37,22600,819,354
Falcon town,160,3722620,37,22620,324,88
Falkland town,160,3722640,37,22640,47,29
Fallston town,160,3722720,37,22720,627,261
Farmington CDP,160,3722800,37,22800,291,140
Farmville town,160,3722820,37,22820,4461,2237
Fayetteville city,160,3722920,37,22920,208501,90326
Fearrington Village CDP,160,3722982,37,22982,2557,1605
Five Points CDP,160,3723520,37,23520,961,373
Flat Rock village,160,3723600,37,23600,3486,2176
Flat Rock CDP,160,3723640,37,23640,1326,720
Fletcher town,160,3723760,37,23760,7987,3642
Fontana Dam town,160,3723980,37,23980,13,70
Forest City town,160,3724080,37,24080,7377,3511
Forest Hills village,160,3724170,37,24170,303,194
Forest Oaks CDP,160,3724198,37,24198,4209,1664
Foscoe CDP,160,3724380,37,24380,1457,1555
Fountain town,160,3724440,37,24440,385,195
Four Oaks town,160,3724520,37,24520,2158,955
Foxfire village,160,3724570,37,24570,1288,648
Franklin town,160,3724640,37,24640,4175,2299
Franklinton town,160,3724720,37,24720,2456,1169
Franklinville town,160,3724740,37,24740,1197,468
Fremont town,160,3724900,37,24900,1196,598
