name,sumlev,geocode,pop2020,hu2020
Cumberland County Schools,970,3700011,311584,137410
Pitt County Schools,970,3700012,170243,80515
Camp Lejeune Schools,970,3700013,34394,4153
Fort Bragg Schools,970,3700014,23152,4767
Alamance-Burlington Schools,970,3700030,171415,73385
Alexander County Schools,970,3700090,36444,15960
Alleghany County Schools,970,3700120,10888,7666
Anson County Schools,970,3700180,22055,9834
Ashe County Schools,970,3700210,26577,16935
Asheboro City Schools,970,3700240,29525,12914
Asheville City Schools,970,3700270,43408,22088
Avery County Schools,970,3700300,17806,13827
Beaufort County Schools,970,3700330,44652,24090
Bertie County Schools,970,3700360,17934,8936
Bladen County Schools,970,3700390,29606,15131
Brunswick County Schools,970,3700420,136693,88330
Buncombe County Schools,970,3700450,226044,107053
Burke County Schools,970,3700480,87570,39525
Cabarrus County Schools,970,3700530,201161,76888
Caldwell County Schools,970,3700580,80652,36931
Camden County Schools,970,3700600,10355,4119
Carteret County Schools,970,3700630,67686,50846
Caswell County Schools,970,3700660,22736,10444
Catawba County Schools,970,3700690,109179,47189
Chapel Hill-Carrboro Schools,970,3700720,91329,36758
Chatham County Schools,970,3700750,76285,33947
Cherokee County Schools,970,3700780,28774,17863
Edenton-Chowan Schools,970,3700840,13708,7131
Clay County Schools,970,3700870,11089,7295
Cleveland County Schools,970,3700900,99519,43630
Clinton City Schools,970,3700930,15432,6629
Columbus County Schools,970,3700960,37508,17458
Currituck County Schools,970,3701080,28100,15989
Dare County Schools,970,3701110,36915,34237
Davidson County Schools,970,3701140,132962,58149
Davie County Schools,970,3701170,42712,18753
Duplin County Schools,970,3701200,48715,23704
Durham Public Schools,970,3701260,324833,144559
Edgecombe County Schools,970,3701320,39080,18074
Elkin City Schools,970,3701380,6299,3040
Forsyth County Schools,970,3701500,382590,170176
Franklin County Schools,970,3701530,68573,29358
Gaston County Schools,970,3701620,227943,98136
Gates County Schools,970,3701680,10478,4767
Graham County Schools,970,3701770,8030,5212
Granville County Schools,970,3701800,60992,24214
Greene County Schools,970,3701830,20451,7846
Guilford County Schools,970,3701920,541299,232277
Halifax County Schools,970,3701950,28024,14863
Harnett County Schools,970,3702010,133568,52876
Haywood County Schools,970,3702040,62088,34888
Henderson County Schools,970,3702100,116281,56434
Hertford County Schools,970,3702160,21552,9803
Hickory City Schools,970,3702190,32918,15337
Hoke County Schools,970,3702250,52074,20081
Hyde County Schools,970,3702280,4589,3146
Iredell-Statesville Schools,970,3702310,151895,65674
Jackson County Schools,970,3702340,39291,25096
Johnston County Schools,970,3702370,215999,84340
Jones County Schools,970,3702400,9172,4635
Kannapolis City Schools,970,3702430,33434,14183
Lee County Schools,970,3702560,63285,26583
Lenoir County Schools,970,3702610,55122,26577
Lexington City Schools,970,3702640,21004,9562
Lincoln County Schools,970,3702680,86810,37170
Macon County Schools,970,3702760,37014,26948
Madison County Schools,970,3702820,21193,11045
Martin County Schools,970,3702880,22031,11080
McDowell County Schools,970,3702940,44578,21242
Charlotte-Mecklenburg Schools,970,3702970,1115482,478966
Mitchell County Schools,970,3703000,14903,8638
Montgomery County Schools,970,3703060,25751,14773
Moore County Schools,970,3703090,99727,48237
Mooresville City Schools,970,3703120,34798,13698
Mount Airy City Schools,970,3703210,10934,5439
Nash-Rocky Mount Schools,970,3703270,104790,48139
Craven County Schools,970,3703310,100720,46800
New Hanover County Schools,970,3703330,225702,113368
Newton-Conover City Schools,970,3703360,18513,8218
Northampton County Schools,970,3703420,17471,10570
Onslow County Schools,970,3703450,170182,80027
Orange County Schools,970,3703480,57367,24453
Pamlico County Schools,970,3703510,12276,7118
Pasquotank County Schools,970,3703540,40568,17410
Pender County Schools,970,3703570,60203,29927
Perquimans County Schools,970,3703600,13005,6866
Person County Schools,970,3703630,39097,18284
Polk County Schools,970,3703720,19328,10775
Randolph County Schools,970,3703780,114646,49110
Richmond County Schools,970,3703870,42946,19605
Roanoke Rapids City Schools,970,3703900,13989,6199
Robeson County Schools,970,3703930,116530,48426
Rockingham County Schools,970,3703990,91096,43431
Rowan-Salisbury Schools,970,3704050,138084,59539
Rutherford County Schools,970,3704080,64444,32444
Sampson County Schools,970,3704140,43604,18852
Scotland County Schools,970,3704200,34174,14348
Stanly County Schools,970,3704320,62504,27685
Stokes County Schools,970,3704380,44520,21160
Surry County Schools,970,3704410,54126,24957
Swain County Schools,970,3704440,9586,6457
Thomasville City Schools,970,3704500,14964,6825
Transylvania County Schools,970,3704530,32986,19025
Tyrrell County Schools,970,3704590,3245,1999
Union County Public Schools,970,3704620,238267,83788
Vance County Schools,970,3704650,42578,19276
Wake County Schools,970,3704720,1129410,462582
Warren County Schools,970,3704740,18642,11309
Washington County Schools,970,3704800,11003,6039
Watauga County Schools,970,3704830,54086,32637
Wayne County Public Schools,970,3704880,117333,52551
Weldon City Schools,970,3704890,6609,3673
Whiteville City Schools,970,3704920,13115,5975
Wilkes County Schools,970,3704950,65969,31545
Wilson County Schools,970,3705020,78784,36252
Yadkin County Schools,970,3705040,37214,16946
Yancey County Schools,970,3705070,18470,11230
Eastern Cherokee Reservation,970,3737099,8350,3438
