name,coname,sumlev,geocode,state,county,cousub,pop2020,hu2020
Township 1, Patterson; Alamance County; North Carolina,60,3700193292,37,1,93292,5135,2188
Township 2, Coble; Alamance County; North Carolina,60,3700193328,37,1,93328,4771,2050
Township 3, Boone Station; Alamance County; North Carolina,60,3700193368,37,1,93368,31742,12423
Township 4, Morton; Alamance County; North Carolina,60,3700193444,37,1,93444,5427,2320
Township 5, Faucette; Alamance County; North Carolina,60,3700193476,37,1,93476,3399,1565
Township 6, Graham; Alamance County; North Carolina,60,3700193520,37,1,93520,27169,11841
Township 7, Albright; Alamance County; North Carolina,60,3700193556,37,1,93556,4456,1938
Township 8, Newlin; Alamance County; North Carolina,60,3700193608,37,1,93608,6336,2752
Township 9, Thompson; Alamance County; North Carolina,60,3700193656,37,1,93656,10005,4254
Township 10, Melville; Alamance County; North Carolina,60,3700193684,37,1,93684,21866,9419
Township 11, Pleasant Grove; Alamance County; North Carolina,60,3700193704,37,1,93704,4741,2018
Township 12, Burlington; Alamance County; North Carolina,60,3700193712,37,1,93712,39971,17850
Township 13, Haw River; Alamance County; North Carolina,60,3700193732,37,1,93732,6397,2767
Ellendale township, Alexander County,60,3700391020,37,3,91020,3440,1537
Gwaltneys township, Alexander County,60,3700391364,37,3,91364,2138,969
Little River township, Alexander County,60,3700391848,37,3,91848,1419,652
Millers township, Alexander County,60,3700392068,37,3,92068,2137,909
Sharpes township, Alexander County,60,3700392908,37,3,92908,4791,2151
Sugar Loaf township, Alexander County,60,3700393168,37,3,93168,1278,595
Taylorsville township, Alexander County,60,3700393228,37,3,93228,11114,4483
Wittenburg township, Alexander County,60,3700394086,37,3,94086,10127,4664
Cherry Lane township, Alleghany County,60,3700590640,37,5,90640,1563,1513
Cranberry township, Alleghany County,60,3700590808,37,5,90808,390,380
Gap Civil township, Alleghany County,60,3700591204,37,5,91204,4211,2354
Glade Creek township, Alleghany County,60,3700591232,37,5,91232,2001,1377
Piney Creek township, Alleghany County,60,3700592508,37,5,92508,932,836
Prathers Creek township, Alleghany County,60,3700592564,37,5,92564,772,540
Whitehead township, Alleghany County,60,3700593960,37,5,93960,1019,666
Ansonville township, Anson County,60,3700790064,37,7,90064,1386,662
Burnsville township, Anson County,60,3700790452,37,7,90452,1732,818
Gulledge township, Anson County,60,3700791356,37,7,91356,1768,876
Lanesboro township, Anson County,60,3700791732,37,7,91732,4571,1491
Lilesville township, Anson County,60,3700791808,37,7,91808,2746,1335
Morven township, Anson County,60,3700792140,37,7,92140,1582,741
Wadesboro township, Anson County,60,3700793876,37,7,93876,7796,3709
White Store township, Anson County,60,3700793996,37,7,93996,474,202
Chestnut Hill township, Ashe County,60,3700990648,37,9,90648,830,555
Clifton township, Ashe County,60,3700990696,37,9,90696,1741,1058
Creston township, Ashe County,60,3700990820,37,9,90820,598,404
Elk township, Ashe County,60,3700991004,37,9,91004,586,463
Grassy Creek township, Ashe County,60,3700991282,37,9,91282,505,390
Helton township, Ashe County,60,3700991448,37,9,91448,640,409
Horse Creek township, Ashe County,60,3700991540,37,9,91540,592,355
Hurricane township, Ashe County,60,3700991568,37,9,91568,269,207
Jefferson township, Ashe County,60,3700991652,37,9,91652,4736,2640
Laurel township, Ashe County,60,3700991740,37,9,91740,367,219
North Fork township, Ashe County,60,3700992316,37,9,92316,880,576
Obids township, Ashe County,60,3700992364,37,9,92364,1299,1008
Old Fields township, Ashe County,60,3700992376,37,9,92376,2796,2011
Peak Creek township, Ashe County,60,3700992456,37,9,92456,1176,852
Pine Swamp township, Ashe County,60,3700992504,37,9,92504,2590,1658
Piney Creek township, Ashe County,60,3700992512,37,9,92512,996,598
Pond Mountain township, Ashe County,60,3700992544,37,9,92544,241,166
Walnut Hill township, Ashe County,60,3700993892,37,9,93892,1482,901
West Jefferson township, Ashe County,60,3700993956,37,9,93956,4253,2465
Altamont township, Avery County,60,3701190052,37,11,90052,1123,703
Banner Elk township, Avery County,60,3701190148,37,11,90148,3293,4480
Beech Mountain township, Avery County,60,3701190212,37,11,90212,601,432
Carey's Flat township, Avery County,60,3701190510,37,11,90510,153,167
Cranberry township, Avery County,60,3701190812,37,11,90812,512,291
Elk Park township, Avery County,60,3701191018,37,11,91018,1255,615
Frank township, Avery County,60,3701191154,37,11,91154,286,145
Heaton township, Avery County,60,3701191442,37,11,91442,337,231
Hughes township, Avery County,60,3701191558,37,11,91558,439,246
Ingalls township, Avery County,60,3701191582,37,11,91582,2872,573
Linville township, Avery County,60,3701191826,37,11,91826,641,1300
Minneapolis township, Avery County,60,3701192090,37,11,92090,371,225
Montezuma township, Avery County,60,3701192110,37,11,92110,601,372
Newland No. 1 township, Avery County,60,3701192262,37,11,92262,1147,730
Newland No. 2 township, Avery County,60,3701192263,37,11,92263,1052,606
Pineola township, Avery County,60,3701192502,37,11,92502,1562,1856
Plumtree township, Avery County,60,3701192538,37,11,92538,656,360
Pyatte township, Avery County,60,3701192586,37,11,92586,438,240
Roaring Creek township, Avery County,60,3701192708,37,11,92708,467,255
Bath township, Beaufort County,60,3701390168,37,13,90168,4287,2908
Chocowinity township, Beaufort County,60,3701390664,37,13,90664,8682,4779
Long Acre township, Beaufort County,60,3701391896,37,13,91896,8685,4203
Pantego township, Beaufort County,60,3701392436,37,13,92436,6012,3226
Richland township, Beaufort County,60,3701392664,37,13,92664,2623,1905
Washington township, Beaufort County,60,3701393904,37,13,93904,14363,7069
Colerain township, Bertie County,60,3701590712,37,15,90712,2652,1426
Indian Woods township, Bertie County,60,3701591580,37,15,91580,421,250
Merry Hill township, Bertie County,60,3701592044,37,15,92044,872,551
Mitchell township, Bertie County,60,3701592096,37,15,92096,2261,1112
